OrderDetailID,OrderID,Product_ID,Quantity,CustomerID,EmployeeID,OrderDate,ShipperID,Product_Name,SupplierID,CategoryID,ProductDescription,ProductPrice,CategoryName,Description,CustomerName,ContactName,Address,City,PostalCode,Country,ShipperName,Phone
45,10263,24,28,20,9,1996-07-23,3,Guaraná Fantástica,10,1,12 - 355 ml cans,4.5,Beverages,"Soft drinks, coffees, teas, beers, and ales",Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Federal Shipping,(503) 555-9931
46,10263,30,60,20,9,1996-07-23,3,Nord-Ost Matjeshering,13,8,10 - 200 g glasses,25.89,Seafood,Seaweed and fish,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Federal Shipping,(503) 555-9931
47,10263,74,36,20,9,1996-07-23,3,Longlife Tofu,4,7,5 kg pkg.,10.0,Produce,Dried fruit and bean curd,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Federal Shipping,(503) 555-9931
48,10264,2,35,24,6,1996-07-24,3,Chang,1,1,24 - 12 oz bottles,19.0,Beverages,"Soft drinks, coffees, teas, beers, and ales",Folk och fä HB,Maria Larsson,Åkergatan 24,Bräcke,S-844 67,Sweden,Federal Shipping,(503) 555-9931
49,10264,41,25,24,6,1996-07-24,3,Jack's New England Clam Chowder,19,8,12 - 12 oz cans,9.65,Seafood,Seaweed and fish,Folk och fä HB,Maria Larsson,Åkergatan 24,Bräcke,S-844 67,Sweden,Federal Shipping,(503) 555-9931
50,10265,17,30,7,2,1996-07-25,1,Alice Mutton,7,6,20 - 1 kg tins,39.0,Meat/Poultry,Prepared meats,Blondel père et fils,Frédérique Citeaux,"24, place Kléber",Strasbourg,67000,France,Speedy Express,(503) 555-9831
51,10265,70,20,7,2,1996-07-25,1,Outback Lager,7,1,24 - 355 ml bottles,15.0,Beverages,"Soft drinks, coffees, teas, beers, and ales",Blondel père et fils,Frédérique Citeaux,"24, place Kléber",Strasbourg,67000,France,Speedy Express,(503) 555-9831
52,10266,12,12,87,3,1996-07-26,3,Queso Manchego La Pastora,5,4,10 - 500 g pkgs.,38.0,Dairy Products,Cheeses,Wartian Herkku,Pirkko Koskitalo,Torikatu 38,Oulu,90110,Finland,Federal Shipping,(503) 555-9931
53,10267,40,50,25,4,1996-07-29,1,Boston Crab Meat,19,8,24 - 4 oz tins,18.4,Seafood,Seaweed and fish,Frankenversand,Peter Franken,Berliner Platz 43,München,80805,Germany,Speedy Express,(503) 555-9831
54,10267,59,70,25,4,1996-07-29,1,Raclette Courdavault,28,4,5 kg pkg.,55.0,Dairy Products,Cheeses,Frankenversand,Peter Franken,Berliner Platz 43,München,80805,Germany,Speedy Express,(503) 555-9831
55,10267,76,15,25,4,1996-07-29,1,Lakkalikööri,23,1,500 ml,18.0,Beverages,"Soft drinks, coffees, teas, beers, and ales",Frankenversand,Peter Franken,Berliner Platz 43,München,80805,Germany,Speedy Express,(503) 555-9831
56,10268,29,10,33,8,1996-07-30,3,Thüringer Rostbratwurst,12,6,50 bags x 30 sausgs.,123.79,Meat/Poultry,Prepared meats,GROSELLA-Restaurante,Manuel Pereira,5ª Ave. Los Palos Grandes,Caracas,1081,Venezuela,Federal Shipping,(503) 555-9931
57,10268,72,4,33,8,1996-07-30,3,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8,Dairy Products,Cheeses,GROSELLA-Restaurante,Manuel Pereira,5ª Ave. Los Palos Grandes,Caracas,1081,Venezuela,Federal Shipping,(503) 555-9931
58,10269,33,60,89,5,1996-07-31,1,Geitost,15,4,500 g,2.5,Dairy Products,Cheeses,White Clover Markets,Karl Jablonski,305 - 14th Ave. S. Suite 3B,Seattle,98128,USA,Speedy Express,(503) 555-9831
59,10269,72,20,89,5,1996-07-31,1,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8,Dairy Products,Cheeses,White Clover Markets,Karl Jablonski,305 - 14th Ave. S. Suite 3B,Seattle,98128,USA,Speedy Express,(503) 555-9831
60,10270,36,30,87,1,1996-08-01,1,Inlagd Sill,17,8,24 - 250 g jars,19.0,Seafood,Seaweed and fish,Wartian Herkku,Pirkko Koskitalo,Torikatu 38,Oulu,90110,Finland,Speedy Express,(503) 555-9831
61,10270,43,25,87,1,1996-08-01,1,Ipoh Coffee,20,1,16 - 500 g tins,46.0,Beverages,"Soft drinks, coffees, teas, beers, and ales",Wartian Herkku,Pirkko Koskitalo,Torikatu 38,Oulu,90110,Finland,Speedy Express,(503) 555-9831
62,10271,33,24,75,6,1996-08-01,2,Geitost,15,4,500 g,2.5,Dairy Products,Cheeses,Split Rail Beer & Ale,Art Braunschweiger,P.O. Box 555,Lander,82520,USA,United Package,(503) 555-3199
63,10272,20,6,65,6,1996-08-02,2,Sir Rodney's Marmalade,8,3,30 gift boxes,81.0,Confections,"Desserts, candies, and sweet breads",Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,United Package,(503) 555-3199
64,10272,31,40,65,6,1996-08-02,2,Gorgonzola Telino,14,4,12 - 100 g pkgs,12.5,Dairy Products,Cheeses,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,United Package,(503) 555-3199
65,10272,72,24,65,6,1996-08-02,2,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8,Dairy Products,Cheeses,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,United Package,(503) 555-3199
66,10273,10,24,63,3,1996-08-05,3,Ikura,4,8,12 - 200 ml jars,31.0,Seafood,Seaweed and fish,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,Federal Shipping,(503) 555-9931
67,10273,31,15,63,3,1996-08-05,3,Gorgonzola Telino,14,4,12 - 100 g pkgs,12.5,Dairy Products,Cheeses,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,Federal Shipping,(503) 555-9931
68,10273,33,20,63,3,1996-08-05,3,Geitost,15,4,500 g,2.5,Dairy Products,Cheeses,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,Federal Shipping,(503) 555-9931
69,10273,40,60,63,3,1996-08-05,3,Boston Crab Meat,19,8,24 - 4 oz tins,18.4,Seafood,Seaweed and fish,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,Federal Shipping,(503) 555-9931
70,10273,76,33,63,3,1996-08-05,3,Lakkalikööri,23,1,500 ml,18.0,Beverages,"Soft drinks, coffees, teas, beers, and ales",QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,Federal Shipping,(503) 555-9931
71,10274,71,20,85,6,1996-08-06,1,Fløtemysost,15,4,10 - 500 g pkgs.,21.5,Dairy Products,Cheeses,Vins et alcools Chevalier,Paul Henriot,59 rue de l'Abbaye,Reims,51100,France,Speedy Express,(503) 555-9831
72,10274,72,7,85,6,1996-08-06,1,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8,Dairy Products,Cheeses,Vins et alcools Chevalier,Paul Henriot,59 rue de l'Abbaye,Reims,51100,France,Speedy Express,(503) 555-9831
73,10275,24,12,49,1,1996-08-07,1,Guaraná Fantástica,10,1,12 - 355 ml cans,4.5,Beverages,"Soft drinks, coffees, teas, beers, and ales",Magazzini Alimentari Riuniti,Giovanni Rovelli,Via Ludovico il Moro 22,Bergamo,24100,Italy,Speedy Express,(503) 555-9831
74,10275,59,6,49,1,1996-08-07,1,Raclette Courdavault,28,4,5 kg pkg.,55.0,Dairy Products,Cheeses,Magazzini Alimentari Riuniti,Giovanni Rovelli,Via Ludovico il Moro 22,Bergamo,24100,Italy,Speedy Express,(503) 555-9831
75,10276,10,15,80,8,1996-08-08,3,Ikura,4,8,12 - 200 ml jars,31.0,Seafood,Seaweed and fish,Tortuga Restaurante,Miguel Angel Paolino,Avda. Azteca 123,México D.F.,5033,Mexico,Federal Shipping,(503) 555-9931
76,10276,13,10,80,8,1996-08-08,3,Konbu,6,8,2 kg box,6.0,Seafood,Seaweed and fish,Tortuga Restaurante,Miguel Angel Paolino,Avda. Azteca 123,México D.F.,5033,Mexico,Federal Shipping,(503) 555-9931
77,10277,28,20,52,2,1996-08-09,3,Rössle Sauerkraut,12,7,25 - 825 g cans,45.6,Produce,Dried fruit and bean curd,Morgenstern Gesundkost,Alexander Feuer,Heerstr. 22,Leipzig,4179,Germany,Federal Shipping,(503) 555-9931
78,10277,62,12,52,2,1996-08-09,3,Tarte au sucre,29,3,48 pies,49.3,Confections,"Desserts, candies, and sweet breads",Morgenstern Gesundkost,Alexander Feuer,Heerstr. 22,Leipzig,4179,Germany,Federal Shipping,(503) 555-9931
79,10278,44,16,5,8,1996-08-12,2,Gula Malacca,20,2,20 - 2 kg bags,19.45,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Berglunds snabbköp,Christina Berglund,Berguvsvägen 8,Luleå,S-958 22,Sweden,United Package,(503) 555-3199
80,10278,59,15,5,8,1996-08-12,2,Raclette Courdavault,28,4,5 kg pkg.,55.0,Dairy Products,Cheeses,Berglunds snabbköp,Christina Berglund,Berguvsvägen 8,Luleå,S-958 22,Sweden,United Package,(503) 555-3199
81,10278,63,8,5,8,1996-08-12,2,Vegie-spread,7,2,15 - 625 g jars,43.9,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Berglunds snabbköp,Christina Berglund,Berguvsvägen 8,Luleå,S-958 22,Sweden,United Package,(503) 555-3199
82,10278,73,25,5,8,1996-08-12,2,Röd Kaviar,17,8,24 - 150 g jars,15.0,Seafood,Seaweed and fish,Berglunds snabbköp,Christina Berglund,Berguvsvägen 8,Luleå,S-958 22,Sweden,United Package,(503) 555-3199
83,10279,17,15,44,8,1996-08-13,2,Alice Mutton,7,6,20 - 1 kg tins,39.0,Meat/Poultry,Prepared meats,Lehmanns Marktstand,Renate Messner,Magazinweg 7,Frankfurt a.M.,60528,Germany,United Package,(503) 555-3199
84,10280,24,12,5,2,1996-08-14,1,Guaraná Fantástica,10,1,12 - 355 ml cans,4.5,Beverages,"Soft drinks, coffees, teas, beers, and ales",Berglunds snabbköp,Christina Berglund,Berguvsvägen 8,Luleå,S-958 22,Sweden,Speedy Express,(503) 555-9831
85,10280,55,20,5,2,1996-08-14,1,Pâté chinois,25,6,24 boxes x 2 pies,24.0,Meat/Poultry,Prepared meats,Berglunds snabbköp,Christina Berglund,Berguvsvägen 8,Luleå,S-958 22,Sweden,Speedy Express,(503) 555-9831
86,10280,75,30,5,2,1996-08-14,1,Rhönbräu Klosterbier,12,1,24 - 0.5 l bottles,7.75,Beverages,"Soft drinks, coffees, teas, beers, and ales",Berglunds snabbköp,Christina Berglund,Berguvsvägen 8,Luleå,S-958 22,Sweden,Speedy Express,(503) 555-9831
87,10281,19,1,69,4,1996-08-14,1,Teatime Chocolate Biscuits,8,3,10 boxes x 12 pieces,9.2,Confections,"Desserts, candies, and sweet breads",Romero y tomillo,Alejandra Camino,"Gran Vía, 1",Madrid,28001,Spain,Speedy Express,(503) 555-9831
88,10281,24,6,69,4,1996-08-14,1,Guaraná Fantástica,10,1,12 - 355 ml cans,4.5,Beverages,"Soft drinks, coffees, teas, beers, and ales",Romero y tomillo,Alejandra Camino,"Gran Vía, 1",Madrid,28001,Spain,Speedy Express,(503) 555-9831
89,10281,35,4,69,4,1996-08-14,1,Steeleye Stout,16,1,24 - 12 oz bottles,18.0,Beverages,"Soft drinks, coffees, teas, beers, and ales",Romero y tomillo,Alejandra Camino,"Gran Vía, 1",Madrid,28001,Spain,Speedy Express,(503) 555-9831
90,10282,30,6,69,4,1996-08-15,1,Nord-Ost Matjeshering,13,8,10 - 200 g glasses,25.89,Seafood,Seaweed and fish,Romero y tomillo,Alejandra Camino,"Gran Vía, 1",Madrid,28001,Spain,Speedy Express,(503) 555-9831
91,10282,57,2,69,4,1996-08-15,1,Ravioli Angelo,26,5,24 - 250 g pkgs.,19.5,Grains/Cereals,"Breads, crackers, pasta, and cereal",Romero y tomillo,Alejandra Camino,"Gran Vía, 1",Madrid,28001,Spain,Speedy Express,(503) 555-9831
92,10283,15,20,46,3,1996-08-16,3,Genen Shouyu,6,2,24 - 250 ml bottles,15.5,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",LILA-Supermercado,Carlos González,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,3508,Venezuela,Federal Shipping,(503) 555-9931
93,10283,19,18,46,3,1996-08-16,3,Teatime Chocolate Biscuits,8,3,10 boxes x 12 pieces,9.2,Confections,"Desserts, candies, and sweet breads",LILA-Supermercado,Carlos González,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,3508,Venezuela,Federal Shipping,(503) 555-9931
94,10283,60,35,46,3,1996-08-16,3,Camembert Pierrot,28,4,15 - 300 g rounds,34.0,Dairy Products,Cheeses,LILA-Supermercado,Carlos González,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,3508,Venezuela,Federal Shipping,(503) 555-9931
95,10283,72,3,46,3,1996-08-16,3,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8,Dairy Products,Cheeses,LILA-Supermercado,Carlos González,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,3508,Venezuela,Federal Shipping,(503) 555-9931
96,10284,27,15,44,4,1996-08-19,1,Schoggi Schokolade,11,3,100 - 100 g pieces,43.9,Confections,"Desserts, candies, and sweet breads",Lehmanns Marktstand,Renate Messner,Magazinweg 7,Frankfurt a.M.,60528,Germany,Speedy Express,(503) 555-9831
97,10284,44,21,44,4,1996-08-19,1,Gula Malacca,20,2,20 - 2 kg bags,19.45,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Lehmanns Marktstand,Renate Messner,Magazinweg 7,Frankfurt a.M.,60528,Germany,Speedy Express,(503) 555-9831
98,10284,60,20,44,4,1996-08-19,1,Camembert Pierrot,28,4,15 - 300 g rounds,34.0,Dairy Products,Cheeses,Lehmanns Marktstand,Renate Messner,Magazinweg 7,Frankfurt a.M.,60528,Germany,Speedy Express,(503) 555-9831
99,10284,67,5,44,4,1996-08-19,1,Laughing Lumberjack Lager,16,1,24 - 12 oz bottles,14.0,Beverages,"Soft drinks, coffees, teas, beers, and ales",Lehmanns Marktstand,Renate Messner,Magazinweg 7,Frankfurt a.M.,60528,Germany,Speedy Express,(503) 555-9831
100,10285,1,45,63,1,1996-08-20,2,Chais,1,1,10 boxes x 20 bags,18.0,Beverages,"Soft drinks, coffees, teas, beers, and ales",QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,United Package,(503) 555-3199
101,10285,40,40,63,1,1996-08-20,2,Boston Crab Meat,19,8,24 - 4 oz tins,18.4,Seafood,Seaweed and fish,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,United Package,(503) 555-3199
102,10285,53,36,63,1,1996-08-20,2,Perth Pasties,24,6,48 pieces,32.8,Meat/Poultry,Prepared meats,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,United Package,(503) 555-3199
103,10286,35,100,63,8,1996-08-21,3,Steeleye Stout,16,1,24 - 12 oz bottles,18.0,Beverages,"Soft drinks, coffees, teas, beers, and ales",QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,Federal Shipping,(503) 555-9931
104,10286,62,40,63,8,1996-08-21,3,Tarte au sucre,29,3,48 pies,49.3,Confections,"Desserts, candies, and sweet breads",QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,Federal Shipping,(503) 555-9931
